中澀	中渋 中澁
乘	乗
亂	乱
亙	亘
亞	亜
亞洲	亜州
人口社會減型過疎	人口社会減型過疎
佛	仏
來	来
個人攝影	個人撮影
個攝	個撮
個攝物	個撮物
假	仮
傳	伝
僞	偽
價	価
儉	倹
兒	児
內	内
兩	両
前澀	前渋 前澁
剎	刹
剩	剰
劍	剣
劑	剤
動畫攝影	動画撮影
動畫攝影者	動画撮影者
勞	労
勳	勲
勵	励
勸	勧
勻	匀
區	区
區劃	区画
區畫	区画
卷	巻
卻	却
參	参
台北輕鐵炭礦	台北軽鉄炭鉱
吳	呉
咒	呪
商品攝影	商品撮影
啞	唖
單	単
噓	嘘
嚙	噛
嚴	厳
囑	嘱
圈	圏
國	国
國民健康保險飛驒市民病院	国民健康保険飛騨市民病院 国民健康保険飛驒市民病院
圍	囲
圓	円
圖	図
團	団
堯仁	堯仁 尭仁
堯仁法親王	堯仁法親王 尭仁法親王
堯性	堯性 尭性
堯性法親王	堯性法親王 尭性法親王
增	増
墮	堕
壓	圧
壘	塁
壞	壊
壤	壌
壯	壮
壹	壱
壽	寿
大禰	大禰
奧	奥
奧飛驒	奥飛騨 奥飛驒
奬	奨
妝	粧
孃	嬢
學	学
宿禰	宿禰
寢	寝
實	実
寫	写
寫真攝影	写真撮影
寬	寛
寶	宝
將	将
專	専
對	対
小澀	小渋 小澁
少子型過疎	少子型過疎
屆	届
屬	属
山澀	山渋 山澁
峯	峰
峽	峡
嶽	岳
巖	巌
巢	巣
帶	帯
廁	厠
廢	廃
廣	広
廳	庁
彈	弾
彌	弥
彎	弯
彥	彦
徑	径
從	従
徵	徴
德	徳
恆	恒
悅	悦
惠	恵
惡	悪
惱	悩
慘	惨
應	応
懷	懐
戀	恋
戰	戦
戲	戯
戶	戸
戾	戻
拂	払
拔	抜
拜	拝
挾	挟
插	挿
揭	掲
搔	掻
搖	揺
搜	捜
摑	掴
擇	択
擊	撃
擔	担
據	拠
擴	拡
攝	摂
攝像	撮像
攝像素子	撮像素子
攝影	撮影
攝影所	撮影所
攝影會	撮影会
攝影機	撮影機
攝影現場	撮影現場
攝影者	撮影者
攪	撹
收	収
效	効
敕	勅
敘	叙
數	数
斷	断
晉	晋
晚	晩
晝	昼
暨	曁
曆	暦
曉	暁
曾	曽
會	会
枡	桝
查	査
條	条
棧	桟
棱	稜 棱
榆	楡
榮	栄
槇島	槙島 槇島
槇島村	槙島村 槇島村
槇島町	槙島町 槇島町
槙島	槙島 槇島
槙島村	槙島村 槇島村
槙島町	槙島町 槇島町
樂	楽
樓	楼
樞	枢
樣	様
橫	横
檜隈	檜隈 桧隈
檜隈大內陵	檜隈大内陵 桧隈大内陵
檢	検
櫻	桜
權	権
欠缺	欠缺
次回預告	次回予告
歐	欧
歐洲	欧州
歡	歓
步	歩
歲	歳
歷	歴
歸	帰
殘	残
殼	殻
毆	殴
每	毎
氛圍	雰囲 氛囲
氣	気
污	汚
沒	没
沢澤	沢澤
沢澤砂羽	沢澤砂羽
涉	渉
淚	涙
淨	浄
淺	浅
渴	渇
溪	渓
溫	温
溼	湿
滯	滞
滿	満
潑	溌
潛	潜
澀	渋
澀下	渋下 澁下
澀久	渋久 澁久
澀井	渋井 澁井
澀佐	渋佐 澁佐
澀倉	渋倉 澁倉
澀原	渋原 澁原
澀口	渋口 澁口
澀坂	渋坂 澁坂
澀垂	渋垂 澁垂
澀尾	渋尾 澁尾
澀居	渋居
澀屋	渋屋 澁屋
澀山	渋山 澁山
澀岡	渋岡
澀川	渋川 澁川
澀市	渋市 澁市
澀庵	渋庵 澁庵
澀志	渋志
澀木	渋木 澁木
澀村	渋村 澁村
澀柿	渋柿 澁柿
澀桑	渋桑 澁桑
澀梨	渋梨
澀梨子	渋梨子 澁梨子
